iter	Passed	Remaining
0	74	7414
1	84	4129
2	93	3029
3	104	2505
4	114	2177
5	125	1962
6	134	1786
7	143	1647
8	152	1543
9	162	1458
10	171	1385
11	180	1324
12	189	1270
13	199	1222
14	208	1179
15	217	1142
16	227	1109
17	236	1076
18	246	1051
19	255	1022
20	265	997
21	273	970
22	282	945
23	290	921
24	298	896
25	307	875
26	317	858
27	327	840
28	336	823
29	346	807
30	359	799
31	368	783
32	378	768
33	387	752
34	397	737
35	406	722
36	416	708
37	425	694
38	434	680
39	444	666
40	453	652
41	462	638
42	470	623
43	480	611
44	489	598
45	498	584
46	506	571
47	515	558
48	525	546
49	534	534
50	542	521
51	552	509
52	560	497
53	570	485
54	580	474
55	591	464
56	603	455
57	613	443
58	621	431
59	629	419
60	637	407
61	647	396
62	656	385
63	666	374
64	673	362
65	683	351
66	694	341
67	703	331
68	712	320
69	721	309
70	731	298
71	740	287
72	749	277
73	758	266
74	768	256
75	777	245
76	787	235
77	796	224
78	805	214
79	814	203
80	824	193
81	833	182
82	843	172
83	851	162
84	859	151
85	866	141
86	876	131
87	886	120
88	895	110
89	902	100
90	912	90
91	922	80
92	931	70
93	940	60
94	949	49
95	956	39
96	965	29
97	974	19
98	981	9
99	990	0
