iter	Logloss
0	0.6427420966
1	0.6209353845
2	0.5888161178
3	0.5588317531
4	0.5435165064
5	0.5115259137
6	0.5005860253
7	0.4944986159
8	0.4824649984
9	0.4686092954
10	0.4584513862
11	0.4544068713
12	0.4502468154
13	0.4467122268
14	0.4427809637
15	0.4320005708
16	0.4283924914
17	0.4221043245
18	0.4189568364
19	0.4171296671
20	0.4101407286
21	0.4043774666
22	0.4027089603
23	0.4002571039
24	0.3985692584
25	0.3947681089
26	0.3934549547
27	0.3902347201
28	0.3890055442
29	0.3877588629
30	0.386209664
31	0.385423005
32	0.3801369912
33	0.378067907
34	0.3770704286
35	0.372254513
36	0.3708652571
37	0.3699245265
38	0.3679148331
39	0.3670505355
40	0.3662149795
41	0.3647316359
42	0.3637443336
43	0.3626035513
44	0.3605001987
45	0.3598700002
46	0.3594027768
47	0.3584806147
48	0.3580373594
49	0.3572862686
50	0.3569425114
51	0.355970827
52	0.3554216806
53	0.3542253359
54	0.3538638658
55	0.3535599076
56	0.3531105756
57	0.3521704563
58	0.3517074139
59	0.3512413202
60	0.3509097863
61	0.3504334264
62	0.3495894151
63	0.348254944
64	0.3478731451
65	0.3472893767
66	0.3469350269
67	0.3467053183
68	0.3463265937
69	0.3458551288
70	0.3456169652
71	0.3452119322
72	0.3447343822
73	0.3442115406
74	0.3439129093
75	0.3434571794
76	0.3432413294
77	0.3429203159
78	0.3425692792
79	0.3421887006
80	0.3407106914
81	0.3404463964
82	0.3396229284
83	0.3395077838
84	0.3391725383
85	0.3381744845
86	0.3379354883
87	0.3372451023
88	0.3361872141
89	0.3360321823
90	0.3357330264
91	0.3354940544
92	0.3352357243
93	0.3338971442
94	0.3333620652
95	0.3330757667
96	0.3326935195
97	0.3324521174
98	0.3322810319
99	0.3318875844
