iter	Passed	Remaining
0	81	8038
1	98	4802
2	114	3696
3	204	4897
4	244	4644
5	259	4058
6	278	3705
7	313	3606
8	341	3452
9	364	3280
10	389	3152
11	408	2998
12	425	2846
13	439	2697
14	455	2581
15	470	2468
16	478	2336
17	486	2217
18	495	2111
19	505	2020
20	514	1934
21	524	1858
22	532	1782
23	541	1715
24	554	1663
25	572	1630
26	586	1586
27	598	1539
28	608	1490
29	619	1444
30	631	1404
31	642	1365
32	660	1340
33	671	1302
34	683	1268
35	694	1234
36	707	1205
37	720	1176
38	738	1155
39	750	1126
40	762	1097
41	775	1071
42	788	1045
43	799	1017
44	809	989
45	821	964
46	831	937
47	841	911
48	852	886
49	861	861
50	872	838
51	883	815
52	893	792
53	904	770
54	914	748
55	924	726
56	935	706
57	946	685
58	956	664
59	966	644
60	975	623
61	986	604
62	997	586
63	1006	566
64	1014	546
65	1024	527
66	1034	509
67	1043	491
68	1052	473
69	1062	455
70	1072	438
71	1083	421
72	1096	405
73	1106	388
74	1119	373
75	1130	357
76	1138	340
77	1149	324
78	1158	307
79	1169	292
80	1179	276
81	1187	260
82	1199	245
83	1211	230
84	1222	215
85	1234	200
86	1246	186
87	1256	171
88	1267	156
89	1278	142
90	1287	127
91	1299	112
92	1307	98
93	1319	84
94	1329	69
95	1338	55
96	1349	41
97	1360	27
98	1373	13
99	1388	0
