Feature,Importance,Year
Temperature(F),0.012637956,2016.0
Humidity(%),0.014405748,2016.0
Pressure(in),0.010031415,2016.0
Visibility(mi),0.007964814,2016.0
Wind_Speed(mph),0.026013412,2016.0
Weather_Condition,0.021560097,2016.0
Amenity,0.008699742,2016.0
Bump,0.0,2016.0
Crossing,0.13088292,2016.0
Give_Way,0.0005593092,2016.0
Junction,0.06148721,2016.0
No_Exit,5.9186343e-05,2016.0
Railway,0.004670032,2016.0
Roundabout,0.0,2016.0
Station,0.019452555,2016.0
Stop,0.031170908,2016.0
Traffic_Calming,0.00022380905,2016.0
Traffic_Signal,0.21914983,2016.0
Sunrise_Sunset,0.031172218,2016.0
State,0.13814643,2016.0
Start_Lat,0.1395927,2016.0
Start_Lng,0.15933968,2016.0
Year,0.13644205,2016.0
Month,0.1256389,2016.0
Day,0.008326041,2016.0
Hour,0.18975198,2016.0
Weekday,0.3855283,2016.0
Rush_Hour,0.26057154,2016.0
Night_Driving,0.044127867,2016.0
Temperature(F),0.012554696,2017.0
Humidity(%),0.014975447,2017.0
Pressure(in),0.0065572653,2017.0
Visibility(mi),0.009876811,2017.0
Wind_Speed(mph),0.024560416,2017.0
Weather_Condition,0.030656181,2017.0
Amenity,0.009885853,2017.0
Bump,0.0,2017.0
Crossing,0.14264071,2017.0
Give_Way,0.0006119868,2017.0
Junction,0.0687501,2017.0
No_Exit,6.0333034e-05,2017.0
Railway,0.0025940489,2017.0
Roundabout,0.0,2017.0
Station,0.01920403,2017.0
Stop,0.038075972,2017.0
Traffic_Calming,0.0002494506,2017.0
Traffic_Signal,0.20383023,2017.0
Sunrise_Sunset,0.034322497,2017.0
State,0.12845711,2017.0
Start_Lat,0.16953,2017.0
Start_Lng,0.15463279,2017.0
Year,0.14445734,2017.0
Month,0.09040913,2017.0
Day,0.006239629,2017.0
Hour,0.1800006,2017.0
Weekday,0.36957327,2017.0
Rush_Hour,0.2611679,2017.0
Night_Driving,0.043035943,2017.0
Temperature(F),0.011608457,2018.0
Humidity(%),0.013979729,2018.0
Pressure(in),0.008882039,2018.0
Visibility(mi),0.009509676,2018.0
Wind_Speed(mph),0.023612496,2018.0
Weather_Condition,0.022773642,2018.0
Amenity,0.0060774586,2018.0
Bump,0.0,2018.0
Crossing,0.14053394,2018.0
Give_Way,0.00036737154,2018.0
Junction,0.0725366,2018.0
No_Exit,5.5335964e-05,2018.0
Railway,0.0039669583,2018.0
Roundabout,0.0,2018.0
Station,0.023101307,2018.0
Stop,0.038430475,2018.0
Traffic_Calming,0.00018849918,2018.0
Traffic_Signal,0.22507326,2018.0
Sunrise_Sunset,0.034109604,2018.0
State,0.14870675,2018.0
Start_Lat,0.19143736,2018.0
Start_Lng,0.17494726,2018.0
Year,0.15892604,2018.0
Month,0.11631507,2018.0
Day,0.006795232,2018.0
Hour,0.17766514,2018.0
Weekday,0.36316812,2018.0
Rush_Hour,0.25144175,2018.0
Night_Driving,0.042328488,2018.0
Temperature(F),0.012154165,2019.0
Humidity(%),0.013922844,2019.0
Pressure(in),0.016824624,2019.0
Visibility(mi),0.009976775,2019.0
Wind_Speed(mph),0.035018258,2019.0
Weather_Condition,0.024675028,2019.0
Amenity,0.009712964,2019.0
Bump,0.0,2019.0
Crossing,0.1409024,2019.0
Give_Way,0.00035258185,2019.0
Junction,0.06973864,2019.0
No_Exit,5.865474e-05,2019.0
Railway,0.0028774652,2019.0
Roundabout,0.0,2019.0
Station,0.014946632,2019.0
Stop,0.032985166,2019.0
Traffic_Calming,0.000330738,2019.0
Traffic_Signal,0.19796145,2019.0
Sunrise_Sunset,0.03958092,2019.0
State,0.13948983,2019.0
Start_Lat,0.1688551,2019.0
Start_Lng,0.27093887,2019.0
Year,0.1850009,2019.0
Month,0.17473723,2019.0
Day,0.0068898406,2019.0
Hour,0.1649781,2019.0
Weekday,0.3636812,2019.0
Rush_Hour,0.2952971,2019.0
Night_Driving,0.04274436,2019.0
Temperature(F),0.009840539,2020.0
Humidity(%),0.015220698,2020.0
Pressure(in),0.023893444,2020.0
Visibility(mi),0.010104204,2020.0
Wind_Speed(mph),0.03521574,2020.0
Weather_Condition,0.022482203,2020.0
Amenity,0.005284367,2020.0
Bump,0.0,2020.0
Crossing,0.1155174,2020.0
Give_Way,0.0003692728,2020.0
Junction,0.049992375,2020.0
No_Exit,6.4524276e-05,2020.0
Railway,0.0043541244,2020.0
Roundabout,0.0,2020.0
Station,0.0185294,2020.0
Stop,0.042375915,2020.0
Traffic_Calming,0.00027740793,2020.0
Traffic_Signal,0.13401401,2020.0
Sunrise_Sunset,0.0728719,2020.0
State,0.13754715,2020.0
Start_Lat,0.22299838,2020.0
Start_Lng,0.26078427,2020.0
Year,0.8615388,2020.0
Month,0.3386788,2020.0
Day,0.0073531168,2020.0
Hour,0.18437356,2020.0
Weekday,0.26533338,2020.0
Rush_Hour,0.2065064,2020.0
Night_Driving,0.135222,2020.0
Temperature(F),0.011640974,2021.0
Humidity(%),0.012106662,2021.0
Pressure(in),0.01958219,2021.0
Visibility(mi),0.010709682,2021.0
Wind_Speed(mph),0.03896347,2021.0
Weather_Condition,0.023875847,2021.0
Amenity,0.003170989,2021.0
Bump,0.0,2021.0
Crossing,0.13349447,2021.0
Give_Way,0.00094869704,2021.0
Junction,0.045598373,2021.0
No_Exit,6.686597e-05,2021.0
Railway,0.0030997256,2021.0
Roundabout,0.0,2021.0
Station,0.021495745,2021.0
Stop,0.034891292,2021.0
Traffic_Calming,0.00016944589,2021.0
Traffic_Signal,0.09700184,2021.0
Sunrise_Sunset,0.077794604,2021.0
State,0.15732838,2021.0
Start_Lat,0.24659286,2021.0
Start_Lng,0.19890843,2021.0
Year,1.391301,2021.0
Month,0.14584884,2021.0
Day,0.013723798,2021.0
Hour,0.17349315,2021.0
Weekday,0.251364,2021.0
Rush_Hour,0.24989675,2021.0
Night_Driving,0.06892243,2021.0
Temperature(F),0.01214424,2022.0
Humidity(%),0.012435645,2022.0
Pressure(in),0.0218106,2022.0
Visibility(mi),0.010045674,2022.0
Wind_Speed(mph),0.033750888,2022.0
Weather_Condition,0.02260751,2022.0
Amenity,0.010687805,2022.0
Bump,0.0,2022.0
Crossing,0.14008981,2022.0
Give_Way,0.00062112836,2022.0
Junction,0.04296161,2022.0
No_Exit,0.00024708622,2022.0
Railway,0.0049840715,2022.0
Roundabout,0.0,2022.0
Station,0.033275038,2022.0
Stop,0.04153007,2022.0
Traffic_Calming,0.00030487395,2022.0
Traffic_Signal,0.10087412,2022.0
Sunrise_Sunset,0.07376477,2022.0
State,0.15810944,2022.0
Start_Lat,0.23804161,2022.0
Start_Lng,0.21801646,2022.0
Year,1.3949293,2022.0
Month,0.12821114,2022.0
Day,0.013004057,2022.0
Hour,0.20633991,2022.0
Weekday,0.24791105,2022.0
Rush_Hour,0.22347403,2022.0
Night_Driving,0.064589225,2022.0
Temperature(F),0.010332622,2023.0
Humidity(%),0.013879949,2023.0
Pressure(in),0.02339663,2023.0
Visibility(mi),0.018674431,2023.0
Wind_Speed(mph),0.03423356,2023.0
Weather_Condition,0.024731329,2023.0
Amenity,0.005394021,2023.0
Bump,0.0,2023.0
Crossing,0.1096992,2023.0
Give_Way,0.0002564899,2023.0
Junction,0.039738253,2023.0
No_Exit,5.125364e-05,2023.0
Railway,0.0035241742,2023.0
Roundabout,0.0,2023.0
Station,0.019200396,2023.0
Stop,0.03612645,2023.0
Traffic_Calming,0.00021971817,2023.0
Traffic_Signal,0.0993277,2023.0
Sunrise_Sunset,0.088727824,2023.0
State,0.15733775,2023.0
Start_Lat,0.21642718,2023.0
Start_Lng,0.2293504,2023.0
Year,1.3968425,2023.0
Month,0.0435788,2023.0
Day,0.010568707,2023.0
Hour,0.1862001,2023.0
Weekday,0.2662838,2023.0
